,,,,,,Daily Price Report-01-01-2026 to 07-04-2026 for NCT of Delhi,,,,,
State,District,Market,Commodity Group,Commodity,Variety,Grade,Min Price,Max Price,Modal Price,Price Unit,Price Date
NCT of Delhi,Delhi,Azadpur APMC,Vegetables,Tomato,Tomato,FAQ,800.00,"1,600.00","1,248.00",Rs./Quintal,07-04-2026
NCT of Delhi,Delhi,Azadpur APMC,Vegetables,Tomato,Tomato,FAQ,800.00,"1,600.00","1,248.00",Rs./Quintal,06-04-2026
NCT of Delhi,Delhi,Azadpur APMC,Vegetables,Tomato,Tomato,FAQ,600.00,"1,800.00","1,352.00",Rs./Quintal,04-04-2026
NCT of Delhi,Delhi,Azadpur APMC,Vegetables,Tomato,Tomato,FAQ,800.00,"1,800.00","1,328.00",Rs./Quintal,03-04-2026
NCT of Delhi,Delhi,Azadpur APMC,Vegetables,Tomato,Tomato,FAQ,800.00,"1,800.00","1,328.00",Rs./Quintal,01-04-2026
NCT of Delhi,Delhi,Azadpur APMC,Vegetables,Tomato,Tomato,FAQ,600.00,"1,800.00","1,200.00",Rs./Quintal,30-03-2026
NCT of Delhi,Delhi,Azadpur APMC,Vegetables,Tomato,Tomato,FAQ,800.00,"1,800.00","1,200.00",Rs./Quintal,28-03-2026
NCT of Delhi,Delhi,Azadpur APMC,Vegetables,Tomato,Tomato,FAQ,800.00,"1,800.00","1,248.00",Rs./Quintal,27-03-2026
NCT of Delhi,Delhi,Azadpur APMC,Vegetables,Tomato,Tomato,FAQ,800.00,"1,800.00","1,248.00",Rs./Quintal,26-03-2026
NCT of Delhi,Delhi,Azadpur APMC,Vegetables,Tomato,Tomato,FAQ,600.00,"1,800.00","1,344.00",Rs./Quintal,24-03-2026
NCT of Delhi,Delhi,Azadpur APMC,Vegetables,Tomato,Tomato,FAQ,600.00,"1,800.00","1,256.00",Rs./Quintal,20-03-2026
NCT of Delhi,Delhi,Azadpur APMC,Vegetables,Tomato,Tomato,FAQ,600.00,"1,800.00","1,328.00",Rs./Quintal,19-03-2026
NCT of Delhi,Delhi,Azadpur APMC,Vegetables,Tomato,Tomato,FAQ,800.00,"2,200.00","1,480.00",Rs./Quintal,17-03-2026
NCT of Delhi,Delhi,Azadpur APMC,Vegetables,Tomato,Tomato,FAQ,600.00,"2,800.00","1,712.00",Rs./Quintal,16-03-2026
NCT of Delhi,Delhi,Azadpur APMC,Vegetables,Tomato,Tomato,FAQ,600.00,"2,800.00","1,712.00",Rs./Quintal,13-03-2026
NCT of Delhi,Delhi,Azadpur APMC,Vegetables,Tomato,Tomato,FAQ,600.00,"2,800.00","1,712.00",Rs./Quintal,12-03-2026
NCT of Delhi,Delhi,Azadpur APMC,Vegetables,Tomato,Tomato,Grade A,600.00,"2,800.00","1,656.00",Rs./Quintal,11-03-2026
NCT of Delhi,Delhi,Azadpur APMC,Vegetables,Tomato,Tomato,FAQ,600.00,"2,800.00","1,656.00",Rs./Quintal,10-03-2026
NCT of Delhi,Delhi,Azadpur APMC,Vegetables,Tomato,Tomato,FAQ,800.00,"2,000.00","1,500.00",Rs./Quintal,09-03-2026
NCT of Delhi,Delhi,Azadpur APMC,Vegetables,Tomato,Tomato,FAQ,800.00,"2,000.00","1,500.00",Rs./Quintal,06-03-2026
