,,,,,,Daily Price Report-01-01-2022 to 31-12-2022 for Maharashtra,,,,,
State,District,Market,Commodity Group,Commodity,Variety,Grade,Min Price,Max Price,Modal Price,Price Unit,Price Date
Maharashtra,Nashik,Nasik APMC,Vegetables,Tomato,Other,FAQ,150.00,875.00,500.00,Rs./Quintal,31-12-2022
Maharashtra,Nashik,Nasik APMC,Vegetables,Tomato,Other,FAQ,150.00,800.00,450.00,Rs./Quintal,30-12-2022
Maharashtra,Nashik,Nasik APMC,Vegetables,Tomato,Other,FAQ,150.00,875.00,450.00,Rs./Quintal,29-12-2022
Maharashtra,Nashik,Nasik APMC,Vegetables,Tomato,Other,FAQ,150.00,750.00,400.00,Rs./Quintal,28-12-2022
Maharashtra,Nashik,Nasik APMC,Vegetables,Tomato,Other,FAQ,150.00,600.00,350.00,Rs./Quintal,25-12-2022
Maharashtra,Nashik,Nasik APMC,Vegetables,Tomato,Other,FAQ,150.00,700.00,400.00,Rs./Quintal,21-12-2022
Maharashtra,Nashik,Nasik APMC,Vegetables,Tomato,Other,FAQ,150.00,650.00,400.00,Rs./Quintal,20-12-2022
Maharashtra,Nashik,Nasik APMC,Vegetables,Tomato,Other,FAQ,150.00,635.00,375.00,Rs./Quintal,19-12-2022
Maharashtra,Nashik,Nasik APMC,Vegetables,Tomato,Other,FAQ,150.00,750.00,400.00,Rs./Quintal,15-12-2022
Maharashtra,Nashik,Nasik APMC,Vegetables,Tomato,Other,FAQ,150.00,700.00,400.00,Rs./Quintal,14-12-2022
Maharashtra,Nashik,Nasik APMC,Vegetables,Tomato,Other,FAQ,150.00,750.00,400.00,Rs./Quintal,13-12-2022
Maharashtra,Nashik,Nasik APMC,Vegetables,Tomato,Other,FAQ,150.00,600.00,375.00,Rs./Quintal,12-12-2022
Maharashtra,Nashik,Nasik APMC,Vegetables,Tomato,Other,FAQ,200.00,500.00,325.00,Rs./Quintal,09-12-2022
Maharashtra,Nashik,Nasik APMC,Vegetables,Tomato,Other,FAQ,200.00,650.00,375.00,Rs./Quintal,07-12-2022
Maharashtra,Nashik,Nasik APMC,Vegetables,Tomato,Other,FAQ,200.00,800.00,500.00,Rs./Quintal,04-12-2022
Maharashtra,Nashik,Nasik APMC,Vegetables,Tomato,Other,FAQ,200.00,"1,000.00",600.00,Rs./Quintal,03-12-2022
Maharashtra,Nashik,Nasik APMC,Vegetables,Tomato,Other,FAQ,"1,500.00","2,700.00","2,000.00",Rs./Quintal,02-12-2022
Maharashtra,Nashik,Nasik APMC,Vegetables,Tomato,Other,FAQ,150.00,875.00,600.00,Rs./Quintal,01-12-2022
Maharashtra,Nashik,Nasik APMC,Vegetables,Tomato,Other,FAQ,200.00,"1,000.00",550.00,Rs./Quintal,30-11-2022
Maharashtra,Nashik,Nasik APMC,Vegetables,Tomato,Other,FAQ,200.00,"1,250.00",700.00,Rs./Quintal,29-11-2022
Maharashtra,Nashik,Nasik APMC,Vegetables,Tomato,Other,FAQ,200.00,"1,250.00",700.00,Rs./Quintal,28-11-2022
Maharashtra,Nashik,Nasik APMC,Vegetables,Tomato,Other,FAQ,"2,500.00","4,000.00","3,400.00",Rs./Quintal,26-11-2022
Maharashtra,Nashik,Nasik APMC,Vegetables,Tomato,Other,FAQ,150.00,875.00,500.00,Rs./Quintal,25-11-2022
Maharashtra,Nashik,Nasik APMC,Vegetables,Tomato,Other,FAQ,150.00,750.00,400.00,Rs./Quintal,23-11-2022
Maharashtra,Nashik,Nasik APMC,Vegetables,Tomato,Other,FAQ,150.00,750.00,400.00,Rs./Quintal,22-11-2022
Maharashtra,Nashik,Nasik APMC,Vegetables,Tomato,Other,FAQ,150.00,650.00,375.00,Rs./Quintal,21-11-2022
Maharashtra,Nashik,Nasik APMC,Vegetables,Tomato,Other,FAQ,150.00,550.00,350.00,Rs./Quintal,19-11-2022
Maharashtra,Nashik,Nasik APMC,Vegetables,Tomato,Other,FAQ,150.00,625.00,375.00,Rs./Quintal,18-11-2022
Maharashtra,Nashik,Nasik APMC,Vegetables,Tomato,Other,FAQ,200.00,650.00,400.00,Rs./Quintal,17-11-2022
Maharashtra,Nashik,Nasik APMC,Vegetables,Tomato,Other,FAQ,150.00,600.00,350.00,Rs./Quintal,16-11-2022
Maharashtra,Nashik,Nasik APMC,Vegetables,Tomato,Other,FAQ,100.00,500.00,250.00,Rs./Quintal,15-11-2022
Maharashtra,Nashik,Nasik APMC,Vegetables,Tomato,Other,FAQ,100.00,500.00,250.00,Rs./Quintal,14-11-2022
Maharashtra,Nashik,Nasik APMC,Vegetables,Tomato,Other,FAQ,250.00,"1,000.00",750.00,Rs./Quintal,09-11-2022
Maharashtra,Nashik,Nasik APMC,Vegetables,Tomato,Other,FAQ,250.00,"1,500.00","1,000.00",Rs./Quintal,08-11-2022
Maharashtra,Nashik,Nasik APMC,Vegetables,Tomato,Other,FAQ,250.00,"1,500.00","1,000.00",Rs./Quintal,07-11-2022
Maharashtra,Nashik,Nasik APMC,Vegetables,Tomato,Other,FAQ,250.00,"1,605.00","1,100.00",Rs./Quintal,06-11-2022
Maharashtra,Nashik,Nasik APMC,Vegetables,Tomato,Other,FAQ,250.00,"1,625.00","1,125.00",Rs./Quintal,05-11-2022
Maharashtra,Nashik,Nasik APMC,Vegetables,Tomato,Other,FAQ,250.00,"1,625.00","1,000.00",Rs./Quintal,04-11-2022
Maharashtra,Nashik,Nasik APMC,Vegetables,Tomato,Other,FAQ,250.00,"1,500.00","1,000.00",Rs./Quintal,03-11-2022
Maharashtra,Nashik,Nasik APMC,Vegetables,Tomato,Other,FAQ,250.00,"2,000.00","1,250.00",Rs./Quintal,02-11-2022
Maharashtra,Nashik,Nasik APMC,Vegetables,Tomato,Other,FAQ,250.00,"2,000.00","1,375.00",Rs./Quintal,01-11-2022
Maharashtra,Nashik,Nasik APMC,Vegetables,Tomato,Other,FAQ,250.00,"2,000.00","1,250.00",Rs./Quintal,30-10-2022
Maharashtra,Nashik,Nasik APMC,Vegetables,Tomato,Other,FAQ,350.00,"3,250.00","2,250.00",Rs./Quintal,27-10-2022
Maharashtra,Nashik,Nasik APMC,Vegetables,Tomato,Other,FAQ,350.00,"3,000.00","2,000.00",Rs./Quintal,26-10-2022
Maharashtra,Nashik,Nasik APMC,Vegetables,Tomato,Other,FAQ,350.00,"3,250.00","2,000.00",Rs./Quintal,25-10-2022
Maharashtra,Nashik,Nasik APMC,Vegetables,Tomato,Other,FAQ,350.00,"3,125.00","2,000.00",Rs./Quintal,24-10-2022
Maharashtra,Nashik,Nasik APMC,Vegetables,Tomato,Other,FAQ,350.00,"3,750.00","2,250.00",Rs./Quintal,23-10-2022
Maharashtra,Nashik,Nasik APMC,Vegetables,Tomato,Other,FAQ,350.00,"4,750.00","2,750.00",Rs./Quintal,22-10-2022
