Date,State,Price
2021-01-01,Delhi,1600.0
2021-01-01,Karnataka,1000.0
2021-01-01,Maharashtra,1250.0
2021-01-02,Delhi,1700.0
2021-01-02,Karnataka,867.0
2021-01-02,Maharashtra,750.0
2021-01-03,Delhi,1600.0
2021-01-03,Karnataka,933.0
2021-01-03,Maharashtra,750.0
2021-01-04,Delhi,1750.0
2021-01-04,Karnataka,667.0
2021-01-04,Maharashtra,750.0
2021-01-05,Delhi,1400.0
2021-01-05,Karnataka,600.0
2021-01-06,Delhi,1500.0
2021-01-06,Karnataka,600.0
2021-01-07,Delhi,1192.0
2021-01-07,Karnataka,733.0
2021-01-08,Delhi,1137.6666666666667
2021-01-08,Karnataka,1067.0
2021-01-09,Delhi,950.0
2021-01-09,Karnataka,733.0
2021-01-10,Delhi,800.0
2021-01-10,Karnataka,667.0
2021-01-11,Delhi,1200.0
2021-01-11,Karnataka,667.0
2021-01-12,Delhi,1150.0
2021-01-12,Karnataka,800.0
2021-01-13,Delhi,900.0
2021-01-13,Karnataka,667.0
2021-01-13,Maharashtra,450.0
2021-01-14,Delhi,700.0
2021-01-14,Karnataka,667.0
2021-01-15,Karnataka,733.0
2021-01-16,Delhi,1000.0
2021-01-16,Karnataka,767.0
2021-01-16,Maharashtra,500.0
2021-01-17,Delhi,1000.0
2021-01-17,Karnataka,933.0
2021-01-17,Maharashtra,400.0
2021-01-18,Delhi,700.0
2021-01-18,Karnataka,933.0
2021-01-18,Maharashtra,400.0
2021-01-19,Delhi,800.0
2021-01-19,Karnataka,800.0
2021-01-19,Maharashtra,400.0
2021-01-20,Delhi,700.0
2021-01-20,Karnataka,867.0
2021-01-20,Maharashtra,400.0
2021-01-21,Delhi,950.0
2021-01-21,Karnataka,933.0
2021-01-22,Delhi,900.0
2021-01-22,Karnataka,1000.0
2021-01-22,Maharashtra,400.0
2021-01-23,Delhi,900.0
2021-01-23,Karnataka,1000.0
2021-01-23,Maharashtra,450.0
2021-01-24,Delhi,800.0
2021-01-24,Karnataka,867.0
2021-01-24,Maharashtra,450.0
2021-01-25,Delhi,1200.0
2021-01-25,Karnataka,1033.0
2021-01-25,Maharashtra,550.0
2021-01-26,Karnataka,933.0
2021-01-26,Maharashtra,850.0
2021-01-27,Delhi,1300.0
2021-01-27,Karnataka,967.0
2021-01-27,Maharashtra,500.0
2021-01-28,Delhi,1225.3333333333333
2021-01-28,Karnataka,933.0
2021-01-29,Delhi,1094.0
2021-01-29,Karnataka,867.0
2021-01-29,Maharashtra,650.0
2021-01-30,Delhi,1194.0
2021-01-30,Karnataka,1000.0
2021-01-31,Delhi,1250.0
2021-01-31,Karnataka,1000.0
2021-02-01,Delhi,1200.0
2021-02-01,Karnataka,1067.0
2021-02-01,Maharashtra,850.0
2021-02-02,Delhi,1000.0
2021-02-02,Karnataka,1067.0
2021-02-02,Maharashtra,850.0
2021-02-03,Delhi,1164.5
2021-02-03,Karnataka,1133.0
2021-02-03,Maharashtra,875.0
2021-02-04,Delhi,1133.3333333333333
2021-02-04,Karnataka,933.0
2021-02-04,Maharashtra,800.0
2021-02-05,Delhi,1167.5
2021-02-05,Karnataka,1067.0
2021-02-06,Delhi,1245.0
2021-02-06,Karnataka,1000.0
2021-02-07,Delhi,1350.0
2021-02-07,Karnataka,1067.0
2021-02-07,Maharashtra,850.0
2021-02-08,Delhi,1384.3333333333333
2021-02-08,Karnataka,1033.0
2021-02-09,Delhi,1376.5
2021-02-09,Karnataka,1067.0
2021-02-09,Maharashtra,1000.0
2021-02-10,Delhi,1342.0
2021-02-10,Karnataka,1133.0
2021-02-11,Delhi,1051.0
2021-02-11,Karnataka,1333.0
2021-02-12,Delhi,1250.0
2021-02-12,Karnataka,1333.0
2021-02-13,Delhi,1400.0
2021-02-13,Karnataka,1400.0
2021-02-13,Maharashtra,1250.0
2021-02-14,Delhi,1750.0
2021-02-14,Karnataka,1400.0
2021-02-14,Maharashtra,1250.0
2021-02-15,Delhi,1200.0
2021-02-15,Karnataka,1467.0
2021-02-16,Delhi,1087.5
2021-02-16,Karnataka,1333.0
2021-02-17,Delhi,1358.3333333333333
2021-02-17,Karnataka,1200.0
2021-02-17,Maharashtra,750.0
2021-02-18,Delhi,1262.3333333333333
2021-02-18,Karnataka,1067.0
2021-02-19,Delhi,1162.3333333333333
2021-02-19,Karnataka,1067.0
2021-02-19,Maharashtra,750.0
2021-02-20,Delhi,1095.6666666666667
2021-02-20,Karnataka,1333.0
2021-02-21,Delhi,1250.0
2021-02-21,Karnataka,967.0
2021-02-21,Maharashtra,850.0
2021-02-22,Delhi,1105.0
2021-02-22,Karnataka,800.0
2021-02-22,Maharashtra,850.0
2021-02-23,Delhi,1005.0
2021-02-23,Karnataka,733.0
2021-02-23,Maharashtra,750.0
2021-02-24,Delhi,802.0
2021-02-24,Karnataka,667.0
2021-02-24,Maharashtra,750.0
2021-02-25,Delhi,602.0
2021-02-25,Karnataka,600.0
2021-02-25,Maharashtra,625.0
2021-02-26,Delhi,652.0
2021-02-26,Karnataka,600.0
2021-02-26,Maharashtra,150.0
2021-02-27,Delhi,768.0
2021-02-27,Karnataka,800.0
2021-02-27,Maharashtra,750.0
2021-02-28,Delhi,850.0
2021-02-28,Karnataka,800.0
2021-02-28,Maharashtra,750.0
2021-03-01,Delhi,800.0
2021-03-01,Karnataka,633.0
2021-03-01,Maharashtra,750.0
2021-03-02,Delhi,950.0
2021-03-02,Karnataka,667.0
2021-03-02,Maharashtra,750.0
2021-03-03,Delhi,773.5
2021-03-03,Karnataka,733.0
2021-03-03,Maharashtra,1000.0
2021-03-04,Delhi,915.6666666666666
2021-03-04,Karnataka,733.0
2021-03-05,Delhi,982.3333333333334
2021-03-05,Karnataka,667.0
2021-03-05,Maharashtra,750.0
2021-03-06,Delhi,914.6666666666666
2021-03-06,Karnataka,567.0
2021-03-06,Maharashtra,1800.0
2021-03-07,Delhi,1100.0
2021-03-07,Karnataka,667.0
2021-03-07,Maharashtra,750.0
2021-03-08,Delhi,1048.0
2021-03-08,Karnataka,600.0
2021-03-09,Delhi,735.6666666666666
2021-03-09,Karnataka,567.0
2021-03-10,Delhi,800.0
2021-03-10,Karnataka,600.0
2021-03-11,Delhi,692.6666666666666
2021-03-11,Karnataka,667.0
2021-03-12,Delhi,714.5
2021-03-12,Karnataka,600.0
2021-03-13,Delhi,750.3333333333334
2021-03-13,Karnataka,667.0
2021-03-14,Delhi,800.0
2021-03-14,Karnataka,600.0
2021-03-14,Maharashtra,500.0
2021-03-15,Delhi,873.3333333333334
2021-03-15,Karnataka,533.0
2021-03-16,Delhi,806.6666666666666
2021-03-16,Karnataka,600.0
2021-03-17,Delhi,860.0
2021-03-17,Karnataka,567.0
2021-03-18,Delhi,871.0
2021-03-18,Karnataka,533.0
2021-03-19,Delhi,737.6666666666666
2021-03-19,Karnataka,600.0
2021-03-20,Delhi,856.5
